sequence,domain,kingdom,classifier_phylum,classifier_subphylum,classifier_class,classifier_order,classifier_suborder,classifier_infraorder,classifier_superfamily,classifier_family,BLAST_phylum,BLAST_subphylum,BLAST_class,BLAST_order,BLAST_suborder,BLAST_infraorder,BLAST_superfamily,BLAST_family,BLAST_subfamily,BLAST_tribe,BLAST_subtribe,BLAST_genus,BLAST_species,BLAST_subspecies,same,classifier_confidence,consistent_to,group_to_use,notes
d9c394fb38c8cda60c2550037367c987,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Aradoidea,Aradidae,Arthropoda,Hexapoda,Insecta,Coleoptera,Adephaga,NA,Caraboidea,Carabidae,Lebiinae,Lebiini,NA,NA,unclassified_Lebiini,2-ACP-2013,No,0.726034227,class,Insecta,
21f884817ba302450c5853685c8493e6,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Diptera,Schizophora,Acalyptratae,Lauxanioidea,Lauxaniidae,Arthropoda,Hexapoda,Insecta,Endopterygota,NA,NA,NA,NA,NA,NA,NA,NA,unclassified_Endopterygota,24-LC-2017,No,0.867268855,class,Insecta,
aa5c07a1269c969aeb8f6574ca582b2a,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Diptera,Schizophora,Acalyptratae,Lauxanioidea,Lauxaniidae,Arthropoda,Hexapoda,Insecta,Endopterygota,NA,NA,NA,NA,NA,NA,NA,NA,unclassified_Endopterygota,24-LC-2017,No,0.885344976,class,Insecta,
aa81027cf583591e86d2f4f9ed6cf7ae,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Diptera,Schizophora,Acalyptratae,Lauxanioidea,Lauxaniidae,Arthropoda,Hexapoda,Insecta,Endopterygota,NA,NA,NA,NA,NA,NA,NA,NA,unclassified_Endopterygota,24-LC-2017,No,0.948964151,class,Insecta,
63e9efe2a96260a0df5694a7d12dfd45,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Diptera,Schizophora,Acalyptratae,Lauxanioidea,Lauxaniidae,Arthropoda,Hexapoda,Insecta,Endopterygota,NA,NA,NA,NA,NA,NA,NA,NA,unclassified_Endopterygota,24-LC-2017,No,0.867262157,class,Insecta,
509d80273b7810961060df474f13c0b3,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Coreoidea,Alydidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Chrysopsinae,Chrysopsini,NA,Chrysops,silvifacies,NA,No,0.747725169,class,Insecta,
163bbe47cd8865660f83146bf3019012,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Coreoidea,Alydidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Chrysopsinae,Chrysopsini,NA,Chrysops,silvifacies,NA,No,0.753407001,class,Insecta,
dd7de79fdad23bf6af3a335be644ea27,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Coreoidea,Alydidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Chrysopsinae,Chrysopsini,NA,Chrysops,silvifacies,NA,No,0.748124567,class,Insecta,
33b4fd380c9ab47cfb0204881534b1e8,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Coreoidea,Alydidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Tabanomorpha,Tabanoidea,Tabanidae,Chrysopsinae,Chrysopsini,NA,Chrysops,silvifacies,NA,No,0.745988475,class,Insecta,
a46e536e1b25166afb260ee401e06401,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Heteroptera,Leptopodomorpha,NA,Leptopodidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Muscomorpha,Asiloidea,Bombyliidae,Anthracinae,Exoprosopini,NA,Exoprosopa,marginicollis,NA,No,0.895071772,class,Insecta,
a79895a25775b62b1dedd72878dba22f,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Muscomorpha,Muscoidea,Muscidae,Arthropoda,Hexapoda,Insecta,Orthoptera,Caelifera,Acrididea,Acridoidea,Acrididae,Gomphocerinae,NA,NA,Dasyhippus,barbipes,NA,No,0.971894434,class,Insecta,
0b825e243af7830e8a0569a589cdda5a,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Plecoptera,NA,NA,Eusthenioidea,Diamphipnoidae,NA,NA,NA,Diamphipnoa,annulata,NA,No,0.85191635,class,Insecta,
bd853554cdade91e667ae9058482289c,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Plecoptera,NA,NA,Eusthenioidea,Diamphipnoidae,NA,NA,NA,Diamphipnoa,annulata,NA,No,0.853431838,class,Insecta,
519f732a18762bdbc625ec12ac007c4d,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Plecoptera,NA,NA,Eusthenioidea,Diamphipnoidae,NA,NA,NA,Diamphipnoa,annulata,NA,No,0.860398022,class,Insecta,
fc241dfdaa63e8119d87f292ea7fafef,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Xylophagomorpha,NA,Xylophagaidae,Coenomyiinae,NA,NA,Exeretonevra,angustifrons,NA,No,0.749704603,class,Insecta,
141cd214053d18bd94bef8932730f11a,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Xylophagomorpha,NA,Xylophagaidae,Coenomyiinae,NA,NA,Exeretonevra,angustifrons,NA,No,0.760310329,class,Insecta,
97955205a8c53e3b7d3f950990751ba9,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Xylophagomorpha,NA,Xylophagaidae,Coenomyiinae,NA,NA,Exeretonevra,angustifrons,NA,No,0.751530659,class,Insecta,
d077d73942a753ee08dd1b8322bc657f,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Xylophagomorpha,NA,Xylophagaidae,Coenomyiinae,NA,NA,Exeretonevra,angustifrons,NA,No,0.958229234,class,Insecta,
645d3d31d8e781fc97a868f273bb39b1,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Dictyoptera,Blattodea,Solumblattodea,Blattoidea,Tryonicidae,Arthropoda,Hexapoda,Insecta,Diptera,Brachycera,Xylophagomorpha,NA,Xylophagaidae,Coenomyiinae,NA,NA,Exeretonevra,angustifrons,NA,No,0.796594542,class,Insecta,
da2943fd36bd724fa65d5c966193f4c5,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Coleoptera,Myxophaga,NA,Sphaeriusoidea,Torridincolidae,Arthropoda,Hexapoda,Insecta,Hemiptera,Prosorrhyncha,Pentatomomorpha,Lygaeoidea,Rhyparochromidae,Rhyparochrominae,NA,NA,Panaorus,albomaculatus,NA,No,0.706766342,class,Insecta,
7f2f3a66eb939185fd6b934f8b1ec7e7,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Hemiptera,Auchenorrhyncha,Cicadomorpha,Cicadoidea,Tettigarctidae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.705981858,class,Insecta,
824464756eb8f5470e0b3d4a9ccaf73d,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.885564452,class,Insecta,
c02109fbb59e2731e350736aa5a69ddb,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.885517447,class,Insecta,
003735ba4017e5159e13d60437f9a638,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.884415713,class,Insecta,
01fd8b191218138cd31bef8204c25f2b,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Anostostomatidae,Anabropsinae,NA,NA,Pteranabropsis,crenatis,NA,No,0.952870234,class,Insecta,
c923258bedda58f479c64f5eec360963,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Anostostomatidae,Anabropsinae,NA,NA,Pteranabropsis,crenatis,NA,No,0.923302304,class,Insecta,
c1fde53ce771f031a856fb97f0f4c5e5,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Stenopelmatoidea,Anostostomatidae,Anabropsinae,NA,NA,Pteranabropsis,crenatis,NA,No,0.9232511,class,Insecta,
279929af011ea11faf5527ea88b86fa1,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.884456884,class,Insecta,
9b404ee352db530436f96cf255a4f0bd,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.804799238,class,Insecta,
ca417cd18a7a215a1eef96ca96c5572d,Eukaryota,Metazoa,Arthropoda,Hexapoda,Insecta,Plecoptera,Arctoperlaria,Euholognatha,NA,Scopuridae,Arthropoda,Hexapoda,Insecta,Orthoptera,Ensifera,Tettigoniidea,Tettigonioidea,Tettigoniidae,Phaneropterinae,Phaneropterini,NA,Phaneroptera,falcata,NA,No,0.884287105,class,Insecta,
